"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
37.500,0.472,0.09,0.0
37.550,0.477,0.09,-5.0E-5
37.600,0.482,0.09,0.0
37.650,0.486,0.10,0.0
37.700,0.491,0.09,0.0
37.750,0.496,0.10,0.0
37.800,0.501,0.10,1.1E-4
37.850,0.505,0.10,0.0
37.900,0.510,0.09,0.0
37.950,0.515,0.09,0.0
38.000,0.519,0.09,0.0
38.050,0.524,0.09,0.0
38.100,0.529,0.09,0.0
38.150,0.534,0.09,3.0E-4
38.200,0.538,0.09,0.0
38.250,0.543,0.09,0.0
38.300,0.548,0.09,0.0
38.350,0.552,0.09,0.0
38.400,0.557,0.09,0.0
38.450,0.561,0.09,2.4E-4
38.500,0.566,0.09,0.0
38.550,0.571,0.09,0.0
38.600,0.575,0.09,0.0
38.650,0.580,0.09,0.0
38.700,0.585,0.09,0.0
38.750,0.589,0.09,0.0
38.800,0.594,0.09,0.0
38.850,0.598,0.09,0.0
38.900,0.603,0.09,0.0
38.950,0.608,0.09,0.0
39.000,0.612,0.09,0.0
39.050,0.617,0.09,0.0
39.100,0.621,0.09,-7.1E-5
39.150,0.626,0.09,0.0
39.200,0.630,0.09,0.0
39.250,0.635,0.09,0.0
39.300,0.640,0.09,0.0
39.350,0.644,0.09,0.0
39.400,0.649,0.09,0.0
39.450,0.653,0.09,0.0
39.500,0.658,0.09,0.0
39.550,0.663,0.09,0.0
39.600,0.667,0.09,-3.0E-4
39.650,0.672,0.09,0.0
39.700,0.676,0.09,0.0
39.750,0.681,0.09,0.0
39.800,0.686,0.09,0.0
39.850,0.690,0.09,0.0
39.900,0.695,0.09,0.0
39.950,0.700,0.09,0.0
40.000,0.704,0.09,0.0
40.050,0.709,0.09,0.0
40.100,0.714,0.09,0.0
40.150,0.718,0.09,0.0
40.200,0.723,0.10,0.0
40.250,0.728,0.10,0.0
40.300,0.733,0.10,0.0
40.350,0.738,0.10,0.0
40.400,0.742,0.10,0.0
40.450,0.747,0.10,0.0
40.500,0.752,0.10,0.0
40.550,0.757,0.10,0.0
